id,name,x,y,address,district
1,Phòng Khám Đa Khoa Cầu Giấy,5,5,279 Nguyễn Khánh Toàn,Cầu Giấy
2,Phòng Khám Đa Khoa Đống Đa,2,3,456 Đặng Tiến Đông,Đống Đa
3,Phòng Khám Đa Khoa Hà Đông,10,12,789 Quang Trung,Hà Đông
4,Phòng Khám Bệnh Viện Bạch Mai,8,8,78 Giải Phóng,Hai Bà Trưng
5,Phòng Khám Bệnh Viện Việt Đức,6,9,40 Tràng Thi,Hoàn Kiếm
6,Phòng Khám Đa Khoa Thanh Xuân,12,6,234 Lê Văn Lương,Thanh Xuân
7,Phòng Khám Bệnh Viện Saint Paul,4,7,12 Nhân Chính,Thanh Xuân
8,Phòng Khám Đa Khoa Hoàng Mai,11,4,567 Tam Trinh,Hoàng Mai
9,Phòng Khám Bệnh Viện E,7,11,89 Trần Cung,Cầu Giấy
10,Phòng Khám Đa Khoa Long Biên,9,2,345 Nguyễn Văn Linh,Long Biên
11,Phòng Khám Bệnh Viện Nhi Trung ương,3,10,879 Láng Thường,Hai Bà Trưng
12,Phòng Khám Đa Khoa Tây Hồ,1,8,234 Lạc Long Quân,Tây Hồ
